GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.HandshakeHandler,22,85,3,6,9,21,3,4,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyEncoder,27,17,3,1,6,7,2,3,0,3
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,TlsHelper.new TlsHelper.DecryptionStrategy() {...},0,8,0,0,0,2,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,TlsSystemConfig,3,66,0,0,1,15,1,1,1,1
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ChannelInitializer() {...},3,85,1,3,1,10,1,3,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new TimerTask() {...},5,11,0,0,2,4,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new TimerTask() {...},5,11,0,0,2,4,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.ChannelWrapper,9,32,2,2,2,9,4,5,2,5
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,ResponseFuture,29,168,3,5,8,41,7,19,5,17
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new Runnable() {...},43,0,2,0,9,0,3,0,2,0
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyLogger.NettyBridgeLoggerFactory,0,5,0,0,0,1,0,1,0,1
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettySystemConfig,3,61,0,0,1,24,1,1,1,1
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.InvokeCallbackWrapper,5,25,3,3,2,6,3,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,FileRegionEncoder.new WritableByteChannel() {...},1,20,0,0,1,4,1,3,1,3
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},15,12,0,0,1,2,1,1,1,1
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,28,0,0,0,3,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new TimerTask() {...},5,11,0,0,2,4,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ChannelInitializer() {...},0,60,0,0,0,9,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,28,0,0,0,3,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,42,0,0,0,4,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyClientConfig,62,98,0,0,30,33,16,15,16,15
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.NettyEventExecutor,124,17,13,0,24,4,10,2,2,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},28,0,0,0,3,0,2,0,2,0
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new ChannelFutureListener() {...},14,19,1,1,1,4,1,2,0,2
